Link;Name;Price;Views
https://www.morele.net/laptop-gigabyte-g6x-9kg-2024-i7-13650hx-16-gb-1-tb-rtx-4060-165-hz-9kg-43ee854sd-13179206/;Laptop Gigabyte G6X 9KG 2024 i7-13650HX  / 16 GB / 1 TB / RTX 4060 / 165 Hz (9KG-43EE854SD);4 499 zł;272
https://www.morele.net/laptop-msi-thin-15-b12ucx-1818xpl-i5-12450h-16-gb-512-gb-rtx-2050-144-hz-13354141/;Laptop MSI Thin 15 B12UCX-1818XPL i5-12450H / 16 GB / 512 GB / RTX 2050 / 144 Hz;2 599 zł;120
https://www.morele.net/laptop-gigabyte-aorus-16x-9kg-2024-i7-13650hx-16-gb-1-tb-rtx-4060-165-hz-9kg-43eec54sd-14202658/;Laptop Gigabyte Aorus 16X 9KG 2024 i7-13650HX / 16 GB / 1 TB / RTX 4060 / 165 Hz (9KG-43EEC54SD);5 298 zł;20
https://www.morele.net/laptop-lenovo-legion-pro-5-16irx9-i5-14500hx-32-gb-1-tb-rtx-4060-240-hz-83df00ekpb-13219116/;Laptop Lenovo Legion Pro 5 16IRX9 i5-14500HX / 32 GB / 1 TB / RTX 4060 / 240 Hz (83DF00EKPB);6 629,31 zł;30
https://www.morele.net/laptop-lenovo-v15-g4-amn-ryzen-5-7520u-16-gb-512-gb-w11-82yu0132pb-13473385/;Laptop Lenovo V15 G4 AMN Ryzen 5 7520U / 16 GB / 512 GB / W11 (82YU0132PB);1 899 zł;28
https://www.morele.net/laptop-lenovo-ideapad-slim-3-15iah8-i5-12450h-16-gb-512-gb-w11-83er008mpb-13189556/;Laptop Lenovo IdeaPad Slim 3 15IAH8 i5-12450H / 16 GB / 512 GB / W11 (83ER008MPB);2 499 zł;119
https://www.morele.net/laptop-lenovo-ideapad-slim-3-15abr8-ryzen-5-7430u-16-gb-512-gb-w11-82xm00j0pb-14185263/;Laptop Lenovo IdeaPad Slim 3 15ABR8 Ryzen 5 7430U / 16 GB / 512 GB / W11 (82XM00J0PB);2 599 zł;5
https://www.morele.net/laptop-dell-inspiron-3520-i5-1235u-16-gb-1-tb-w11-120-hz-3520-2109-13269878/;Laptop Dell Inspiron 3520 i5-1235U / 16 GB / 1 TB / W11 / 120 Hz (3520-2109);2 499 zł;4
https://www.morele.net/laptop-lenovo-ideapad-3-17iau7-i5-1235u-8-gb-512-gb-w11-82rl009upb-13184596/;Laptop Lenovo IdeaPad 3 17IAU7 i5-1235U / 8 GB / 512 GB / W11 (82RL009UPB);2 449 zł;52
https://www.morele.net/laptop-lenovo-loq-15arp9-ryzen-5-7235hs-16-gb-512-gb-rtx-3050-144-hz-83jc0068pb-13219196/;Laptop Lenovo LOQ 15ARP9 Ryzen 5 7235HS / 16 GB / 512 GB / RTX 3050 / 144 Hz (83JC0068PB);3 099 zł;86
https://www.morele.net/laptop-asus-tuf-gaming-a15-ryzen-9-8945hs-16-gb-512-gb-rtx-4070-144-hz-fa507ui-lp054-14174600/;Laptop Asus TUF Gaming A15 Ryzen 9 8945HS / 16 GB / 512 GB / RTX 4070 / 144 Hz (FA507UI-LP054);5 799 zł;13
https://www.morele.net/laptop-lenovo-thinkbook-16-g6-irl-i5-1335u-16-gb-512-gb-w11-pro-21kh0076pb-13122075/;Laptop Lenovo ThinkBook 16 G6 IRL i5-1335U / 16 GB / 512 GB / W11 Pro (21KH0076PB);3 382,51 zł;144
https://www.morele.net/laptop-lenovo-loq-15iax9-i5-12450hx-16-gb-512-gb-rtx-3050-144-hz-83gs002npb-13219198/;Laptop Lenovo LOQ 15IAX9 i5-12450HX / 16 GB / 512 GB / RTX 3050 / 144 Hz (83GS002NPB);3 547,02 zł;97
https://www.morele.net/laptop-msi-thin-15-b12uc-1621xpl-i5-12450h-16-gb-512-gb-rtx-3050-144-hz-13191792/;Laptop MSI Thin 15 B12UC-1621XPL i5-12450H / 16 GB / 512 GB / RTX 3050 / 144 Hz;2 898 zł;93
https://www.morele.net/laptop-msi-thin-15-b12ve-1817xpl-i5-12450h-16-gb-512-gb-rtx-4050-144-hz-13354140/;Laptop MSI Thin 15 B12VE-1817XPL i5-12450H / 16 GB / 512 GB / RTX 4050 / 144 Hz;3 398 zł;52
